Trace
Swept SA
A.08.04,N9030A
4930000000,-64.7436848096957
4935000000,-99.4699028189257
4940000000,-66.5555040805484
4945000000,-93.7839471579014
4950000000,-64.6133623634284
4955000000,-91.5866343151898
4960000000,-65.9312493928165
4965000000,-93.9485323979124
4970000000,-66.0059592820958
4975000000,-87.9101653972279
4980000000,-63.2873113310062
4985000000,-93.8263400229263
4990000000,-64.7808730787249
4995000000,-91.2738233516988
5000000000,-65.7793019836892
